250414	19:26:59	c6a4b0d3-d9b5-4856-816d-d89d18d01dc1	/new-page.html	 GET
250414	19:26:59	544fd6ff-4588-4886-8fe4-3150cdb0585f	/css/style.css	 GET
250414	19:26:59	2443f309-d18d-4a53-8b4b-d288416f58c0	/img/img1.jpg	 GET
250414	19:26:59	89dab83a-70c6-40e9-8aac-a0d1d3791588	/favicon.ico	 GET
250414	19:29:26	58b6de12-e821-4b48-aef0-e992be5caa34	/new-page.html	 GET
250414	19:29:57	25bedea8-76c2-40f7-b53e-04b8000bb215	/new-page.html	 GET
250414	19:29:57	7c8b46d9-2207-4aa4-8ea3-8feed7cf4595	/img/img1.jpg	 GET
250414	19:29:57	0ae27d4d-0d35-4f49-99bc-ebb240f4bf46	/css/style.css	 GET
250418	19:23:15	5770c7dd-fa51-4d34-a9b5-3ed30362c362	GET	undefined	/
250418	19:23:15	fbe10af3-1e3d-402d-b458-7ae3e9afca35	GET	undefined	/css/style.css
250418	20:12:05	94dd05a5-ee0c-454f-904d-b455b474ed7f	GET	undefined	/
250418	20:12:05	eda1aef5-cef3-4cc1-8f93-9c5c7dd11120	GET	undefined	/css/style.css
250418	20:36:18	d05cd65e-ac68-4f53-8560-22127969b642	OPTIONS	https://www.google.com	/
250418	20:36:18	77afef8a-9043-4a73-813e-5a85abeda06c	GET	https://www.google.com	/
250418	20:38:53	296202c2-3604-4020-91d0-1e466f71d891	GET	https://www.google.com	/
250418	20:50:46	49f9c02a-7747-4494-bd24-d5f7e7987560	OPTIONS	https://www.google.com	/
250418	20:50:46	39b8ed2d-e149-4615-80ef-634902e6affe	GET	https://www.google.com	/
250418	20:56:26	9272688f-4bf0-4369-b6d0-565630363d22	GET	undefined	/
250418	20:56:57	e22b71d8-5dc3-464c-b560-b0b9d54249d2	GET	undefined	/
250418	20:58:07	0a9874a2-1fd6-4cac-99db-4ffc28b45fd5	GET	undefined	/
250418	20:58:08	60d0b07f-eb9f-4cad-bf24-634c520acd2f	GET	undefined	/css/style.css
250418	21:19:09	10b93021-9f1c-4274-95e1-28e869791368	GET	undefined	/dave
250418	21:19:09	e31686e9-3723-4a29-8d83-b395d36c8843	GET	undefined	/css/style.css
250419	15:55:10	542e7e3a-60da-4b3b-b8df-7e34f9ed9cbc	GET	undefined	/subdir/test.html
250419	15:55:10	0894890d-0ba1-4054-8d94-066eb468632c	GET	undefined	/favicon.ico
250419	15:55:14	1eeb4d0f-054a-4014-8eda-d50346471dea	GET	undefined	/subdir/tost.html
250419	15:55:14	a0144290-c1ed-4290-a562-3460eef4ec9f	GET	undefined	/subdir/css/style.css
250419	15:57:48	ec7c0e0f-2da3-4aad-b2db-00ed02922019	GET	undefined	/subdir/tost.html
250419	15:57:48	e34586b8-33b6-45d1-a7e3-c7941b814870	GET	undefined	/subdir/css/style.css
250419	16:28:26	ffe9a193-855a-410c-b2d7-abb7e58c89d3	GET	undefined	/subdir/test.html
250419	16:28:33	ab2c0fd4-042e-4b97-8eb5-9aa3d3d99e9b	GET	undefined	/
250419	16:28:33	817c29fc-f1e1-4466-906c-7cb491526e09	GET	undefined	/css/style.css
250419	16:29:02	45cbdcd4-6846-4375-95b1-12fc4518d79d	GET	undefined	/new-page
250419	16:29:02	dac19d83-9de4-4379-a6bb-08f67187d1a3	GET	undefined	/img/img1.jpg
250419	16:29:02	c3f1677d-07a8-40ae-ac5d-28ed119b4aee	GET	undefined	/css/style.css
250419	16:30:42	e27f3cc9-85f1-49c4-948c-530d613a4b5a	GET	undefined	/old-page
250419	16:30:42	506be384-0643-40e5-afaa-3ddbb9f3bfa9	GET	undefined	/new-page.html
250419	16:30:42	41c4e78d-4dff-43db-8284-bc5b55360b9e	GET	undefined	/css/style.css
250419	16:30:42	c2e52749-c7a1-484a-963b-2cc4828defac	GET	undefined	/img/img1.jpg
250419	16:30:47	00514acd-8be6-4a3c-9a20-aac82e40636f	GET	undefined	/index
250419	16:30:47	daec2b67-ee9a-4330-acfe-2d3931500774	GET	undefined	/css/style.css
250419	18:47:49	d328bb2a-6259-4a52-aeeb-d40f910f07c2	GET	undefined	/employees
250419	18:50:30	3c7a46f8-282c-45a4-9577-33becc36dc47	POST	undefined	/employees
250419	18:51:04	39ae4625-c648-4e85-aa19-2bd54cd50b2b	GET	undefined	/employees
250419	18:52:34	718e5eff-4148-4ae4-af84-2df6a6031fee	PUT	undefined	/employees
250419	18:53:09	88c6807f-8ecb-4dec-b7da-915dba12a4af	PUT	undefined	/employees
250419	18:53:41	c8a82839-4508-4f5e-a54b-5fb0d43d0ff3	PUT	undefined	/employees
250419	18:53:46	8ad6f682-e7fa-46d5-a51b-5069572c4308	GET	undefined	/employees
250419	18:54:00	73e06eec-4d6a-42ec-9c3f-147bc5ca1a06	POST	undefined	/employees
250419	18:54:34	febdb805-0390-43c9-9896-74ec3f923dcd	POST	undefined	/employees
250419	18:54:40	ceadb787-892b-4aaf-b91d-89781eb1b14d	GET	undefined	/employees
250419	18:54:58	f1a26660-b203-4de3-bb1a-5ef8cee10636	POST	undefined	/employees
250419	18:58:27	903ec81f-db30-4cef-8505-52853e7ef6e4	GET	undefined	/employees/1
250419	18:58:32	1a394791-1d33-4e9b-8679-d9abb721e81b	GET	undefined	/employees/1
250419	21:28:30	b6653609-3a85-4aaa-bd00-9f91fec9ca32	GET	undefined	/employees
250419	21:28:55	daa7cd17-162b-4659-a2c9-c0b86c6940fb	GET	undefined	/employees
250419	21:29:47	18bdc725-8a8d-4984-976b-085abd358366	GET	undefined	/employees
250419	21:30:45	9998db47-7e59-4c65-89dd-eff9405d017a	GET	undefined	/employees/
250419	21:30:51	b212c8cd-ee58-4b60-87de-951da3859d3f	GET	undefined	/employees/1
250419	21:33:29	3d28f566-1aa1-4b72-9f78-f1079b0c7f51	GET	undefined	/employees/1
250419	21:35:37	a2982da6-4f5b-4e8b-b071-2fb64868e4c7	GET	undefined	/employees/1
250419	21:35:44	fc61194f-27b0-425e-8c7d-5ef89e812410	GET	undefined	/employees/
250422	17:06:19	b509578d-bff5-4c02-9e54-0f9f86e4e84a	POST	undefined	/register
250422	17:19:12	42a69423-19cd-4cc2-87ab-646a3a8f5ffb	POST	undefined	/register
250422	17:24:05	f3ebc1ef-cd66-44dc-bb73-801b9fe85684	POST	undefined	/register
